date,tournament_type,home_team,away_team,home_score,away_score,home_elo_before,away_elo_before,home_elo_after,away_elo_after
1967-07-29,AFC Asian Cup qualification,SOUTH KOREA,INDONESIA,1,1,1057.1466526341856,1012.8165994658802,1055.6238017656824,1015.1008757686349
1967-07-30,Friendly,GUYANA,SURINAME,2,2,792.2541240647665,1029.1748223775544,799.3672605006714,1024.4327314202844
1967-07-30,Friendly,PERU,URUGUAY,1,2,1163.8077100472653,1461.1352488085938,1161.237945972112,1464.989894921324
1967-07-30,Friendly,PERU,JAPAN,0,0,1161.237945972112,1050.4316199586838,1158.7696603563782,1054.1340483822844
1967-07-31,Friendly,GUYANA,SURINAME,0,1,799.3672605006714,1024.4327314202844,795.7567780866266,1029.8484550413516
1967-08-01,Friendly,NIGER,BURKINA FASO,2,3,761.8496884402447,784.0386865987623,753.9854268497857,795.8350789844508
1967-08-01,AFC Asian Cup qualification,JAPAN,SOUTH KOREA,2,1,1054.1340483822844,1055.6238017656824,1073.1150883435398,1042.9697751248455
1967-08-01,Friendly,MAURITANIA,TANZANIA,1,1,728.4925103817919,870.2923742388875,733.1351438914015,867.1972852324811
1967-08-02,Friendly,DR CONGO,ETHIOPIA,1,0,927.0056947166546,986.4674104185626,941.7413059511382,976.6436695955736
1967-08-02,Friendly,GUYANA,SURINAME,0,2,795.7567780866266,1029.8484550413516,792.1263760964677,1035.29405802659
1967-08-02,African Cup of Nations qualification,TANZANIA,MAURITIUS,1,0,867.1972852324811,960.8573737039748,891.0723266425923,944.9406794305673
1967-08-03,AFC Asian Cup qualification,JAPAN,PHILIPPINES,2,0,1073.1150883435398,675.1772619336847,1076.7541274427026,672.7512358675763
1967-08-05,AFC Asian Cup qualification,JAPAN,INDONESIA,2,1,1076.7541274427026,1015.1008757686349,1092.3350441900589,1004.7135979370639
1967-08-05,AFC Asian Cup qualification,SOUTH KOREA,PHILIPPINES,7,0,1042.9697751248455,672.7512358675763,1048.1265238731532,669.3134033687045
1967-08-07,AFC Asian Cup qualification,INDONESIA,PHILIPPINES,6,0,1004.7135979370639,669.3134033687045,1010.6418030758872,665.3612666094889
1967-08-10,Nordic Championship,SWEDEN,FINLAND,2,0,1350.4697785434291,1067.6269492057434,1356.9673714994933,1063.2952205683673
1967-08-10,Merdeka Tournament,MALAYSIA,WESTERN AUSTRALIA,3,2,915.3907097937667,800.0,928.2346688994724,791.4373605961963
1967-08-10,Friendly,DR CONGO,MALI,2,2,941.7413059511382,880.5733214847993,940.3472347319407,882.6644283135955
1967-08-10,Merdeka Tournament,HONG KONG,THAILAND,1,0,877.007160390392,868.4512097003208,895.4418229463511,856.1614346630147
1967-08-11,Merdeka Tournament,INDONESIA,SOUTH KOREA,1,3,1010.6418030758872,1048.1265238731532,998.8604469447611,1065.7985580698423
1967-08-11,Merdeka Tournament,SINGAPORE,TAIWAN,3,3,887.5201563693767,924.8351115937915,889.4459766264247,923.5512314224261
1967-08-12,Merdeka Tournament,HONG KONG,VIETNAM REPUBLIC,0,5,895.4418229463511,1034.8672031368944,886.1577148893218,1048.7933652224383
1967-08-12,Merdeka Tournament,INDIA,THAILAND,1,1,1066.4197947936404,856.1614346630147,1059.9311575893328,865.8943904694763
1967-08-13,Merdeka Tournament,INDONESIA,SINGAPORE,4,1,998.8604469447611,889.4459766264247,1013.2488822070814,879.8536864515445
1967-08-13,Merdeka Tournament,MYANMAR,SOUTH KOREA,0,1,1063.2013253104842,1065.7985580698423,1050.6955140595976,1084.5572749461721
1967-08-13,African Cup of Nations qualification,DR CONGO,SUDAN,2,1,940.3472347319407,977.7813004688669,961.2757510392631,963.8289562639853
1967-08-13,Merdeka Tournament,INDIA,WESTERN AUSTRALIA,3,1,1059.9311575893328,791.4373605961963,1066.8899215225806,786.7981846406977
1967-08-13,Merdeka Tournament,MALAYSIA,HONG KONG,3,0,928.2346688994724,886.1577148893218,946.439934487427,874.0208711640188
1967-08-15,Merdeka Tournament,THAILAND,WESTERN AUSTRALIA,1,3,865.8943904694763,786.7981846406977,849.740176997308,811.0295048489502
1967-08-15,Merdeka Tournament,MALAYSIA,VIETNAM REPUBLIC,1,1,946.439934487427,1048.7933652224383,951.5944189460934,1045.357042249994
1967-08-15,Merdeka Tournament,MYANMAR,SINGAPORE,3,0,1050.6955140595976,879.8536864515445,1061.9649597019838,872.3407226899536
1967-08-15,Friendly,CHILE,ARGENTINA,1,0,1329.4666819614147,1536.263232626287,1348.7904343547157,1523.380731030753
1967-08-15,Merdeka Tournament,INDONESIA,TAIWAN,2,1,1013.2488822070814,923.5512314224261,1027.375051581047,914.1337851731156
1967-08-16,Merdeka Tournament,HONG KONG,INDIA,0,4,874.0208711640188,1066.8899215225806,866.8834968993344,1077.595982919607
1967-08-16,African Cup of Nations qualification,MAURITIUS,TANZANIA,1,1,944.9406794305673,891.0723266425923,943.0948991092591,893.8409971245546
1967-08-16,African Cup of Nations qualification,TOGO,IVORY COAST,0,2,815.8826318256527,1011.4990329013118,809.4175564211452,1021.1966460080731
